121 20 837 59 1544 36 2256 0 2968 0 3678 0 4384 20 5096 59 
6578 0 7317 0 8029 15 8736 57 9442 40 10154 0 10866 0 11572 0 
13091 28 13831 0 14537 0 15249 0 15961 27 16673 60 17379 29 18091 0 
19590 33 20329 56 21041 22 21753 0 22459 0 23171 0 23883 35 24589 60 
26125 0 26863 4 27569 56 28282 46 28993 0 29701 0 30408 0 31120 8 
32623 0 33363 0 34074 0 34787 11 35493 59 36205 41 36916 0 37622 0 
39161 55 39899 25 40606 0 41318 0 42029 0 42740 30 43446 56 44158 23 
45697 0 46413 53 47125 50 47837 9 48543 0 49255 0 49967 0 50679 59 
52224 0 52962 0 53674 22 54380 56 55092 31 55805 0 56511 0 57222 0 
58778 13 59484 0 60197 0 60909 0 61616 53 62328 52 63040 15 63749 0 
65302 57 66040 34 66749 0 67456 0 68168 0 68879 22 69586 59 70298 33 
71862 0 72568 55 73307 44 74018 0 74725 0 75432 0 76143 10 76855 62 
78415 0 79154 0 79878 52 80584 51 81296 6 82007 0 82715 0 83421 0 
84986 0 85724 0 86431 0 87143 31 87854 57 88561 24 89272 0 89983 0 
91522 47 92261 0 92972 0 93685 0 94392 7 95103 60 95816 46 96523 0 
98095 51 98825 54 99532 13 100243 0 100954 0 101666 0 102373 54 103084 58 
104638 0 105379 24 106090 57 106802 32 107509 0 108220 0 108932 0 109638 27 
111231 0 111969 0 112681 21 113388 57 114099 31 114811 0 115517 0 116229 0 
117828 0 118535 0 119246 0 119958 12 120670 59 121376 39 122088 0 122800 0 
124390 40 125128 0 125841 0 126548 0 127259 15 127971 59 128683 39 129389 0 
130991 55 131728 38 132435 0 133146 0 133859 0 134565 19 135277 59 135989 43 
137563 13 138304 59 139016 41 139728 0 140434 0 141146 0 141859 13 142565 64 
144175 0 144912 17 145618 58 146331 36 147043 0 147750 0 148456 0 149169 21 
150773 0 151488 0 152200 14 152912 58 153618 41 154330 0 155041 0 155749 0 
157355 0 158093 0 158799 0 159506 16 160217 57 160928 42 161634 0 162347 0 
163961 40 164667 0 165406 0 166117 0 166829 26 167535 58 168248 28 168959 0 
170548 56 171288 28 172000 0 172713 0 173420 0 174131 31 174845 54 175551 29 
177175 54 177913 52 178619 12 179332 0 180044 0 180753 0 181459 55 182172 58 
183802 0 184508 54 185220 50 185931 9 186638 0 187350 0 188062 0 188769 60 
190394 0 191132 13 191846 57 192552 41 193262 0 193974 0 194680 0 195392 16 
197026 0 197764 0 198470 32 199182 56 199894 25 200600 0 201313 0 202024 0 
203627 0 204368 0 205080 0 205787 39 206493 54 207205 16 207917 0 208623 0 
210261 0 210999 0 211711 0 212418 12 213129 59 213841 39 214547 0 215258 0 
216907 34 217613 0 218326 0 219037 0 219749 23 220456 60 221168 32 221879 0 
223519 49 224259 5 224970 0 225676 0 226389 0 227100 55 227806 52 228513 9 
230160 58 230897 34 231604 0 232317 0 233028 0 233741 25 234447 58 235159 36 
