# Raw measurement data
#   No filters applied
#   Data scaled to the range from 0 to 1 for the envelope
Time;Sensor 1;Sensor 2;Sensor 3;Sensor 4;Sensor 5;Sensor 6;Sensor 7;Sensor 8
2.95;-0.091305;-0.096946;-0.065066;-0.056009;-0.032619;-0.080684;-0.096922;-0.08529
3;-0.061965;-0.082985;-0.078112;-0.049894;-0.040598;-0.054645;-0.085312;-0.1027
3.05;-0.10517;-0.089338;-0.017361;-0.038573;-0.096633;-0.081685;-0.089561;-0.029481
3.1;-0.074003;-0.060314;-0.078112;-0.057184;-0.063361;-0.045608;-0.06345;-0.1027
3.15;-0.052618;-0.072038;-0.066434;-0.086586;-0.071645;-0.021273;-0.084549;-0.086216
3.2;-0.041421;-0.096946;-0.069215;-0.084082;-0.037151;-0.01334;-0.096922;-0.090748
3.25;-0.078275;-0.071207;-0.064192;-0.043179;-0.086451;-0.05201;-0.069428;-0.062038
3.3;-0.11009;-0.096946;-0.078112;-0.037322;-0.033203;-0.083632;-0.096922;-0.1027
3.35;-0.11009;-0.095047;-0.050502;-0.013009;-0.067771;-0.086509;-0.094532;-0.055357
3.4;-0.067602;-0.039517;-0.060739;-0.092066;-0.09185;-0.042161;-0.049957;-0.081201
3.45;-0.10856;-0.072093;-0.012288;-0.059187;-0.096633;-0.083656;-0.07045;0.00013178
3.5;-0.1051;-0.059754;-0.03386;-0.061958;-0.096633;-0.07224;-0.056963;-0.048983
3.55;-0.059437;-0.085264;-0.073005;-0.092066;-0.03492;-0.036446;-0.08818;-0.095089
3.6;-0.08492;-0.077951;-0.032828;-0.089074;-0.089569;-0.071366;-0.067973;-0.044387
3.65;-0.052224;-0.052436;-0.051902;-0.06276;-0.096633;-0.043104;-0.063035;-0.07014
3.7;-0.048037;-0.093986;-0.069366;-0.089168;-0.014991;-0.023935;-0.093053;-0.091607
3.75;-0.11009;-0.096946;-0.039474;-0.041525;-0.096531;-0.086509;-0.096922;-0.01294
3.8;-0.11009;-0.096946;-0.060507;-0.030445;-0.072275;-0.086509;-0.096922;-0.065432
3.85;-0.11009;-0.048267;-0.02478;-0.086056;-0.096438;-0.086509;-0.034208;-0.026462
3.9;-0.061572;-0.096946;-0.078112;-0.064515;-0.033805;-0.045751;-0.096922;-0.098886
3.95;-0.053224;-0.086024;-0.078112;-0.092066;-0.041792;-0.032442;-0.086529;-0.1027
4;-0.05977;-0.096946;-0.071176;-0.076971;-0.031904;-0.038612;-0.096922;-0.091411
4.05;-0.089328;-0.060685;-0.059396;-0.069694;-0.096633;-0.052196;-0.042427;-0.063967
4.1;-0.10868;-0.096946;-0.026403;-0.02858;-0.095119;-0.085311;-0.096922;-0.029974
4.15;-0.092249;-0.076072;-0.059289;-0.037808;-0.084208;-0.067378;-0.075149;-0.075752
4.2;-0.095724;-0.064954;-0.051373;-0.079948;-0.039696;-0.069592;-0.062074;-0.080719
4.25;-0.10599;-0.096946;-0.076905;-0.023828;-0.060697;-0.085829;-0.096922;-0.1027
4.3;-0.11009;-0.096946;-0.063603;-0.017507;-0.055453;-0.086509;-0.096922;-0.08388
4.35;-0.088495;-0.037178;-0.031069;-0.08632;-0.096633;-0.05827;-0.027176;-0.047883
4.4;-0.11009;-0.083351;-0.018177;-0.0083697;-0.096633;-0.086509;-0.08081;-0.029975
4.45;-0.11009;-0.096946;-0.03544;-0.054089;-0.063171;-0.084869;-0.090148;-0.044185
4.5;-0.10899;-0.011143;-0.00048143;-0.092066;-0.095905;-0.08564;-0.004875;-0.010527
4.55;-0.1044;-0.090303;-0.049725;-0.043337;-0.048226;-0.067783;-0.089978;-0.068911
4.6;-0.079103;-0.084814;-0.069469;-0.013017;-0.058732;-0.067282;-0.083855;-0.08436
4.65;-0.10623;-0.094695;-0.0068681;0.0029356;-0.096633;-0.083289;-0.094986;-0.030983
4.7;-0.11009;-0.0054011;-0.018905;-0.092066;-0.096633;-0.070712;-0.01116;-0.047863
4.75;-0.11009;-0.096946;-0.065905;0.00033805;-0.061228;-0.086509;-0.096922;-0.097016
4.8;-0.11009;-0.093159;0.025103;-0.0089804;-0.096633;-0.086509;-0.092327;-0.032679
4.85;-0.012712;-0.048006;-0.078112;-0.092066;-0.063755;-0.017674;-0.055922;-0.1027
4.9;-0.11009;-0.0088368;-0.011762;-0.089066;-0.096633;-0.065874;0.01383;-0.078766
4.95;-0.071017;-0.02872;-0.037242;-0.092066;-0.067971;-0.056384;-0.043624;-0.088232
5;-0.084706;-0.088933;-0.065267;0.042068;-0.066047;-0.066596;-0.0904;-0.086904
5.05;-0.01668;-0.01054;-0.078112;-0.06485;-0.089098;-0.016978;-0.059401;-0.1027
5.1;-0.077817;-0.028394;-0.072304;0.00061033;-0.068821;-0.04326;-0.041247;-0.094176
5.15;-0.080281;-0.073748;0.087485;-0.0090777;-0.080841;-0.070664;-0.082555;-0.056174
