# Raw simulation data
#   No filters applied
#   Data scaled to the range from 0 to 1 for the envelope
Time;Sensor 1;Sensor 2;Sensor 3;Sensor 4;Sensor 5;Sensor 6;Sensor 7;Sensor 8
5.9;-0.01512;0.84254;0.85749;0.32238;0.73005;0.003094;2.1996e-05;-6.4002e-09
5.95;-0.022895;0.85517;0.85191;0.31651;0.84482;0.069862;-3.8507e-05;2.4923e-09
6;0.015432;0.87158;0.83914;0.31007;0.62277;0.20427;-0.0020144;3.3578e-07
6.05;0.0086212;0.88399;0.82488;0.30616;0.34723;0.29066;0.0043506;-7.0265e-07
6.1;-0.017485;0.88546;0.81747;0.30708;0.42322;0.43952;0.078166;-1.491e-05
6.15;-0.036125;0.87333;0.82144;0.31182;0.67972;0.46464;0.22988;1.5132e-05
6.2;-0.051489;0.84947;0.83187;0.31715;0.87527;0.39706;0.36187;0.00022949
6.25;-0.04743;0.82273;0.84105;0.31998;0.96176;0.32938;0.42509;-1.5442e-05
6.3;-0.020646;0.80754;0.84582;0.3184;1.1702;0.33033;0.42107;-0.0039466
6.35;-0.011015;0.8116;0.84694;0.31281;1.3066;0.39748;0.38627;0.0028725
6.4;-0.01385;0.82993;0.84572;0.3055;1.3114;0.5372;0.37348;0.057881
6.45;-0.01618;0.85075;0.84389;0.29899;1.232;0.60232;0.40581;0.13344
6.5;-0.016138;0.86419;0.84321;0.29477;1.1572;0.54666;0.45612;0.19391
6.55;-0.00254;0.86697;0.8441;0.29324;1.0542;0.4047;0.47855;0.21898
6.6;-0.001455;0.86231;0.84562;0.29414;1.231;0.27178;0.46696;0.21059
6.65;0.029706;0.85465;0.8467;0.29715;1.1192;0.30496;0.43714;0.18285
6.7;0.074744;0.84723;0.84574;0.30217;1.2306;0.51392;0.40344;0.16674
6.75;0.096657;0.84202;0.84245;0.31015;1.1486;0.62387;0.38317;0.17835
6.8;0.097879;0.83895;0.84064;0.32275;1.0325;0.7361;0.3793;0.20619
6.85;0.093519;0.83505;0.84313;0.34043;0.94042;0.74264;0.37916;0.2325
6.9;0.086852;0.82809;0.84801;0.36218;0.99646;0.65365;0.40922;0.25822
6.95;0.073549;0.81937;0.85187;0.38623;1.0037;0.55734;0.58473;0.26484
7;0.050531;0.8129;0.85358;0.41042;0.99561;0.48586;0.74675;0.27455
7.05;0.018752;0.81055;0.85489;0.43403;1.1052;0.41809;0.75046;0.27386
7.1;-0.0085879;0.81072;0.85814;0.45788;1.2276;0.36667;0.65789;0.27647
7.15;-0.010422;0.809;0.86547;0.48246;1.2784;0.37238;0.56221;0.29565
7.2;0.03299;0.80053;0.87729;0.50769;1.0919;0.39902;0.49981;0.32787
7.25;0.16971;0.7886;0.89089;0.53114;0.86732;0.49559;0.46845;0.35454
7.3;0.35044;0.77973;0.90131;0.55138;0.90471;0.62;0.4518;0.35742
7.35;0.45966;0.78242;0.90827;0.56835;0.90179;0.48533;0.40071;0.32496
7.4;0.62725;0.80014;0.91198;0.58126;0.92823;0.48897;0.3362;0.27548
7.45;0.32915;0.82315;0.91461;0.59044;0.8906;0.53702;0.34169;0.22937
7.5;0.24983;0.83858;0.92054;0.59764;0.87664;0.63728;0.38959;0.21752
7.55;0.34662;0.84904;0.92863;0.60455;0.89646;0.67286;0.42705;0.22425
7.6;0.20582;0.85402;0.93553;0.61041;1.0793;0.65413;0.447;0.23142
7.65;0.0010221;0.85674;0.9405;0.61358;1.3165;0.67488;0.46711;0.24589
7.7;-0.052514;0.8612;0.94347;0.61371;1.3994;0.6644;0.47928;0.26898
7.75;0.2652;0.86787;0.94287;0.61154;1.3108;0.64383;0.48722;0.30097
7.8;0.85731;0.87751;0.93969;0.60745;1.2422;0.62757;0.52722;0.32866
7.85;0.77849;0.89051;0.93587;0.60095;1.2326;0.63466;0.60723;0.33847
7.9;0.73359;0.90306;0.93195;0.59251;1.1461;0.68169;0.6812;0.33336
7.95;0.72863;0.91125;0.92755;0.58475;1.0936;0.69466;0.71296;0.32496
8;0.72551;0.91497;0.92235;0.58143;1.1635;0.67528;0.69552;0.32219
8.05;0.68125;0.91492;0.91736;0.58514;1.2445;0.66377;0.65444;0.32616
8.1;0.6096;0.91136;0.91443;0.59654;1.2953;0.71878;0.62422;0.33351
8.15;0.53697;0.90315;0.9144;0.61355;1.2571;0.78348;0.63185;0.33703
8.2;0.48212;0.88988;0.91603;0.63344;1.2355;0.75059;0.67514;0.33248
8.25;0.45361;0.87322;0.91913;0.65327;1.2001;0.6765;0.72686;0.31881
8.3;0.44898;0.85463;0.92412;0.67016;1.2003;0.64939;0.76853;0.29658
8.35;0.4639;0.8345;0.92869;0.68244;1.175;0.69128;0.78777;0.27414
8.4;0.49811;0.81585;0.93019;0.69061;1.0957;0.71867;0.78123;0.26679
8.45;0.54948;0.80479;0.92979;0.69679;1.0676;0.68418;0.79073;0.28486
8.5;0.59226;0.80411;0.93032;0.70357;0.93697;0.75476;0.84649;0.31642
8.55;0.58246;0.81548;0.93295;0.71224;0.75905;0.87613;0.86995;0.34773
8.6;0.53816;0.83119;0.93734;0.7221;0.78051;0.91157;0.8234;0.39107
8.65;0.58232;0.84446;0.94231;0.73159;0.8834;0.80972;0.75403;0.44219
8.7;0.69312;0.85384;0.94636;0.73921;1.0242;0.7794;0.69765;0.48194
8.75;0.73342;0.86134;0.94836;0.74385;1.1214;0.77345;0.67937;0.51197
8.8;0.78778;0.8691;0.94855;0.74503;1.1788;0.79277;0.68577;0.55998
8.85;0.78331;0.87792;0.94841;0.74334;1.2526;0.79126;0.70682;0.624
8.9;0.65587;0.88554;0.94881;0.74067;1.3098;0.77694;0.73522;0.68199
8.95;0.55029;0.88945;0.94971;0.73965;1.4012;0.78642;0.75632;0.72153
9;0.79108;0.8898;0.95062;0.7424;1.3793;0.80735;0.75668;0.74117
9.05;0.81506;0.88842;0.95143;0.74847;1.3111;0.8265;0.73613;0.74456
9.1;0.71838;0.88711;0.95234;0.75499;1.3571;0.82664;0.72363;0.7392
9.15;0.6665;0.88662;0.95345;0.75967;1.4265;0.8261;0.73366;0.73326
9.2;0.6843;0.88692;0.95438;0.76217;1.3579;0.84543;0.76615;0.73103
9.25;0.69138;0.88803;0.95456;0.76322;1.1859;0.81853;0.80988;0.72872
9.3;0.6743;0.88991;0.9538;0.76344;1.0118;0.78129;0.85606;0.72643
9.35;0.64455;0.8917;0.9523;0.76375;0.96434;0.74549;0.89185;0.71941
9.4;0.61474;0.89157;0.95028;0.76477;0.98352;0.71383;0.89629;0.70197
9.45;0.60409;0.88892;0.94788;0.7669;0.96856;0.69633;0.88247;0.67464
9.5;0.64515;0.88593;0.94541;0.77006;1.0028;0.7255;0.86713;0.65971
9.55;0.7447;0.88465;0.94392;0.77484;1.0294;0.71283;0.85789;0.69074
9.6;0.87383;0.88424;0.945;0.78232;1.0279;0.66309;0.84328;0.74172
