# Raw simulation data
#   No filters applied
#   Data scaled to the range from 0 to 1 for the envelope
#
Time;Sensor 1;Sensor 2;Sensor 3;Sensor 4;Sensor 5;Sensor 6;Sensor 7;Sensor 8
5.85;0.00044503;0.18195;0.88829;0.3428;-1.0243e-11;-4.2388e-07;0.00010051;-1.5155e-09
5.9;0.0011277;0.33519;0.88637;0.35789;-8.122e-11;2.7048e-05;0.0029871;-8.1912e-08
5.95;0.0019189;0.45862;0.88294;0.36279;-6.5242e-08;0.00013845;0.013331;6.9998e-07
6;0.0022084;0.54836;0.87758;0.35992;1.1448e-06;-0.0018547;0.057882;-2.3322e-06
6.05;0.0019527;0.61082;0.87099;0.35194;3.3606e-05;-0.0097352;0.18023;-0.00012938
6.1;0.0012856;0.65336;0.86394;0.34107;-0.00025232;0.0074831;0.28935;-0.00040908
6.15;-0.0002922;0.68336;0.85684;0.32892;-0.0025295;0.36266;0.3543;0.0012725
6.2;-0.0025994;0.70422;0.84994;0.31668;-0.0031487;0.80679;0.39125;0.010865
6.25;-0.0043409;0.71856;0.84322;0.30517;0.01764;0.76326;0.37884;0.03501
6.3;-0.0037614;0.72845;0.83629;0.29473;0.0855;0.67915;0.36113;0.078387
6.35;-0.00069647;0.7356;0.82889;0.28559;0.2079;0.65694;0.34009;0.13184
6.4;0.0019549;0.74093;0.82083;0.27828;0.36245;0.72831;0.31388;0.18183
6.45;0.0023349;0.74518;0.81225;0.27319;0.50783;0.81102;0.31092;0.21235
6.5;0.0014309;0.74839;0.80405;0.27071;0.60375;0.86546;0.34338;0.21378
6.55;0.00036684;0.75025;0.7978;0.27063;0.63739;0.89835;0.37425;0.21481
6.6;-0.00010341;0.75022;0.79538;0.27185;0.61096;0.868;0.37944;0.21622
6.65;-8.9903e-05;0.7475;0.79797;0.27299;0.5507;0.84904;0.36704;0.25549
6.7;-4.2135e-05;0.74216;0.80403;0.27297;0.47125;0.82391;0.34012;0.28548
6.75;-2.0748e-05;0.73577;0.80977;0.27152;0.40512;0.80234;0.29807;0.29637
6.8;-1.2117e-05;0.73034;0.81198;0.26891;0.37458;0.81903;0.25877;0.32321
6.85;-3.6824e-06;0.72964;0.81045;0.26564;0.37241;0.79562;0.1854;0.33156
6.9;4.7385e-06;0.73535;0.80791;0.26241;0.37751;0.74446;0.096403;0.32894
6.95;1.5359e-05;0.74613;0.8074;0.26035;0.3688;0.67925;0.061905;0.31054
7;2.3507e-05;0.75832;0.81095;0.26176;0.34403;0.67953;0.080935;0.30518
7.05;2.4104e-05;0.76905;0.81902;0.26963;0.30189;0.71595;0.14594;0.29888
7.1;1.4412e-05;0.77698;0.83051;0.28498;0.24747;0.71152;0.25278;0.29116
7.15;-1.4965e-06;0.78232;0.84279;0.30542;0.19311;0.74228;0.38583;0.28828
7.2;-1.5544e-07;0.78589;0.85205;0.32664;0.14617;0.7695;0.50624;0.29625
7.25;6.1765e-05;0.78889;0.85543;0.34513;0.14438;0.8035;0.61105;0.31223
7.3;0.00021623;0.79309;0.85275;0.35919;0.21245;0.88759;0.67694;0.34242
7.35;0.00042289;0.80022;0.84594;0.36907;0.33829;0.94863;0.71629;0.39685
7.4;0.00052418;0.81058;0.83792;0.37753;0.50403;0.97877;0.73055;0.47835
7.45;0.00013107;0.82214;0.83256;0.38956;0.62708;1.023;0.72969;0.57589
