# Simulation data of water height over weir
#   Calculated by integrating alpha.water over the height
#   Averaged over 51 different times:
#       5, 5.1, 5.2, 5.3, 5.4, 5.5, 5.6, 5.7, 5.8, 5.9, 6, 6.1, 6.2, 6.3, 6.4, 6.5, 6.6, 6.7, 6.8, 6.9, 7, 7.1, 7.2, 7.3, 7.4, 7.5, 7.6, 7.7, 7.8, 7.9, 8, 8.1, 8.2, 8.3, 8.4, 8.5, 8.6, 8.7, 8.8, 8.9, 9, 9.1, 9.2, 9.3, 9.4, 9.5, 9.6, 9.7, 9.8, 9.9, 10, 
position;mean(height);median(height);std(height);diff(height,mean)
-0.35914;2.6519;2.6704;0.13726;0.40873
-0.35864;2.7293;2.746;0.14014;0.48611
-0.35814;2.6873;2.7018;0.14478;0.44407
-0.35764;2.599;2.6152;0.14782;0.35582
-0.35714;2.6085;2.6245;0.15027;0.36535
-0.35664;2.7598;2.7817;0.14135;0.51662
-0.35614;2.7248;2.7491;0.14517;0.48165
-0.35564;2.641;2.6554;0.13868;0.39778
-0.35514;2.5878;2.6017;0.13433;0.34461
-0.35464;2.5969;2.6152;0.13573;0.35374
-0.35414;2.6899;2.7119;0.14613;0.44672
-0.35364;2.7363;2.7551;0.15356;0.49311
-0.35314;2.7382;2.7541;0.15257;0.49504
-0.35264;2.6871;2.7026;0.14951;0.4439
-0.35214;2.6564;2.6722;0.15604;0.41321
-0.35164;2.801;2.814;0.14732;0.5578
-0.35114;2.7645;2.7825;0.15054;0.52132
-0.35064;2.6786;2.693;0.14331;0.43538
-0.35014;2.6209;2.6363;0.13782;0.37776
-0.34964;2.6267;2.6521;0.13796;0.38356
-0.34914;2.7212;2.7597;0.14777;0.47802
-0.34864;2.8015;2.8413;0.15076;0.55828
-0.34814;2.7635;2.8031;0.15611;0.52033
-0.34764;2.6948;2.7273;0.154;0.45166
-0.34714;2.7273;2.7478;0.14838;0.48415
-0.34664;2.7793;2.8231;0.1519;0.53612
-0.34614;2.7677;2.8088;0.15017;0.52452
-0.34564;2.7003;2.726;0.13997;0.45716
-0.34514;2.6417;2.6646;0.13321;0.3985
-0.34464;2.6457;2.6691;0.13039;0.40255
-0.34414;2.7408;2.7705;0.13931;0.49763
-0.34364;2.821;2.8424;0.14066;0.57787
-0.34314;2.7821;2.8063;0.14503;0.53893
-0.34264;2.6888;2.7145;0.14663;0.44561
-0.34214;2.6946;2.7143;0.14428;0.45142
-0.34164;2.8398;2.8649;0.13464;0.59661
-0.34114;2.8049;2.8302;0.1368;0.56175
-0.34064;2.7189;2.7368;0.12988;0.47573
-0.34014;2.6605;2.6717;0.12437;0.41729
-0.33964;2.663;2.6725;0.1235;0.41981
-0.33914;2.7569;2.7737;0.13164;0.51367
-0.33864;2.8363;2.8493;0.13362;0.59309
-0.33814;2.7984;2.8038;0.13839;0.55525
-0.33764;2.7073;2.7166;0.14024;0.46415
-0.33714;2.7111;2.7194;0.13963;0.46792
-0.33664;2.8533;2.8596;0.13053;0.61008
-0.33614;2.8173;2.8256;0.13274;0.57415
-0.33564;2.7298;2.7382;0.12656;0.48661
-0.33514;2.671;2.6801;0.12102;0.42784
-0.33464;2.6741;2.6813;0.11965;0.43094
-0.33414;2.7669;2.7802;0.12783;0.52368
-0.33364;2.8166;2.8266;0.13344;0.57339
-0.33314;2.82;2.8273;0.13276;0.57687
-0.33264;2.7654;2.775;0.1294;0.5222
-0.33214;2.7312;2.7409;0.13149;0.488
-0.33164;2.8679;2.8778;0.12268;0.62472
-0.33114;2.8543;2.8653;0.12156;0.61108
-0.33064;2.7362;2.7475;0.11945;0.49306
-0.33014;2.6556;2.6658;0.11647;0.41247
-0.32964;2.6844;2.6973;0.11152;0.44124
-0.32914;2.778;2.7847;0.11863;0.53486
-0.32864;2.8599;2.8683;0.12022;0.61669
-0.32814;2.8252;2.8357;0.12437;0.58197
-0.32764;2.7325;2.7387;0.12493;0.48931
-0.32714;2.7333;2.739;0.12308;0.49008
-0.32664;2.8744;2.873;0.1151;0.63125
-0.32614;2.8381;2.8369;0.11695;0.59494
-0.32564;2.7492;2.7547;0.11105;0.50604
-0.32514;2.6881;2.7015;0.10622;0.44488
-0.32464;2.6884;2.7012;0.10505;0.44525
-0.32414;2.783;2.7832;0.11218;0.53979
-0.32364;2.8639;2.869;0.1136;0.62074
-0.32314;2.8276;2.8373;0.11764;0.58444
-0.32264;2.7344;2.746;0.11935;0.49124
-0.32214;2.7359;2.7435;0.11839;0.49276
-0.32164;2.8764;2.8846;0.11033;0.63326
-0.32114;2.8642;2.8736;0.10936;0.62099
-0.32064;2.7463;2.754;0.10744;0.50313
-0.32014;2.6651;2.6705;0.10569;0.4219
-0.31964;2.6919;2.6937;0.10227;0.44875
-0.31914;2.7861;2.7948;0.10826;0.54291
-0.31864;2.866;2.8691;0.11006;0.62277
-0.31814;2.8291;2.8317;0.1145;0.5859
-0.31764;2.736;2.7398;0.11633;0.49277
-0.31714;2.7362;2.7403;0.11606;0.49301
-0.31664;2.8762;2.8803;0.108;0.63304
-0.31614;2.8629;2.8685;0.10722;0.61973
-0.31564;2.7438;2.7496;0.10554;0.50066
-0.31514;2.6623;2.6678;0.10435;0.41912
-0.31464;2.6886;2.6932;0.10184;0.44542
-0.31414;2.7818;2.791;0.10805;0.53865
-0.31364;2.8312;2.8409;0.11337;0.58806
-0.31314;2.8348;2.8392;0.11396;0.59165
-0.31264;2.7783;2.7814;0.11272;0.53511
-0.31214;2.7396;2.7413;0.11719;0.49643
-0.31164;2.8748;2.8798;0.10944;0.63163
-0.31114;2.8603;2.8645;0.10872;0.61711
-0.31064;2.7409;2.743;0.10719;0.49775
-0.31014;2.6589;2.6608;0.10656;0.41574
-0.30964;2.6849;2.6894;0.1046;0.4417
-0.30914;2.7782;2.7819;0.11037;0.53506
-0.30864;2.8597;2.8614;0.1126;0.61651
-0.30814;2.8247;2.8285;0.11812;0.58152
-0.30764;2.7299;2.7379;0.12119;0.48673
-0.30714;2.7285;2.7333;0.12212;0.48528
-0.30664;2.8705;2.8789;0.11339;0.62732
-0.30614;2.8332;2.8418;0.1152;0.59001
-0.30564;2.7444;2.7486;0.11033;0.50118
-0.30514;2.682;2.6848;0.10803;0.43877
-0.30464;2.6807;2.686;0.1092;0.43757
-0.30414;2.7759;2.7817;0.11544;0.5327
-0.30364;2.856;2.8625;0.11794;0.61283
-0.30314;2.8189;2.8242;0.12383;0.57577
-0.30264;2.7243;2.7296;0.12691;0.48112
-0.30214;2.7236;2.7253;0.12887;0.48046
-0.30164;2.8657;2.8673;0.12011;0.62247
-0.30114;2.8533;2.8548;0.11906;0.61014
-0.30064;2.7355;2.7346;0.11752;0.49229
-0.30014;2.6523;2.6512;0.1172;0.4091
-0.29964;2.6776;2.6748;0.11548;0.43439
-0.29914;2.7718;2.7774;0.12255;0.52862
-0.29864;2.8506;2.8553;0.12502;0.60737
-0.29814;2.813;2.8141;0.13094;0.56985
-0.29764;2.718;2.719;0.13425;0.47483
-0.29714;2.717;2.716;0.13547;0.47378
-0.29664;2.8595;2.8648;0.12626;0.61628
-0.29614;2.8451;2.8513;0.12537;0.60194
-0.29564;2.7262;2.7293;0.12331;0.48302
-0.29514;2.6425;2.6439;0.12244;0.39936
-0.29464;2.6676;2.6657;0.11994;0.42442
-0.29414;2.7613;2.7731;0.12825;0.51811
-0.29364;2.8079;2.8172;0.13453;0.5647
-0.29314;2.8108;2.8086;0.13461;0.56759
-0.29264;2.7523;2.747;0.13251;0.50913
-0.29214;2.7094;2.7105;0.13795;0.46618
-0.29164;2.8476;2.8551;0.1297;0.60441
-0.29114;2.8319;2.8427;0.12904;0.58872
-0.29064;2.7121;2.7221;0.12643;0.46894
-0.29014;2.6269;2.637;0.12407;0.38374
-0.28964;2.65;2.6602;0.11985;0.4068
-0.28914;2.7442;2.7507;0.12841;0.50105
-0.28864;2.8229;2.8307;0.12978;0.57971
-0.28814;2.7848;2.7935;0.13348;0.54163
-0.28764;2.6838;2.6926;0.13361;0.44059
-0.28714;2.6768;2.6849;0.1316;0.43366
-0.28664;2.8239;2.8337;0.12389;0.58068
-0.28614;2.7842;2.7965;0.12601;0.54103
-0.28564;2.6956;2.709;0.11919;0.45246
-0.28514;2.6282;2.6408;0.11362;0.38497
-0.28464;2.6203;2.631;0.11263;0.37708
-0.28414;2.7149;2.7326;0.12064;0.4717
-0.28364;2.7902;2.8121;0.12218;0.54701
-0.28314;2.7482;2.7662;0.12562;0.50502
-0.28264;2.6471;2.6625;0.12707;0.40393
-0.28214;2.6349;2.6429;0.12755;0.39168
-0.28164;2.7828;2.7958;0.1199;0.53965
-0.28114;2.7676;2.7756;0.11998;0.52441
-0.28064;2.6479;2.6566;0.11807;0.40472
-0.28014;2.5573;2.5623;0.11786;0.31408
-0.27964;2.5753;2.5823;0.11777;0.33208
-0.27914;2.6674;2.6625;0.12346;0.42421
-0.27864;2.7401;2.7391;0.12671;0.49694
-0.27814;2.6948;2.7002;0.13219;0.45162
-0.27764;2.5872;2.5961;0.13801;0.34401
-0.27714;2.5743;2.5637;0.14342;0.33114
-0.27664;2.7286;2.7268;0.13291;0.48538
-0.27614;2.7115;2.7129;0.13377;0.46831
-0.27564;2.5926;2.5921;0.13253;0.34939
-0.27514;2.5009;2.5083;0.13648;0.25773
-0.27464;2.5181;2.5293;0.1407;0.27487
-0.27414;2.6078;2.6085;0.14309;0.36467
-0.27364;2.6434;2.6439;0.15178;0.40021
-0.27314;2.6406;2.6494;0.1574;0.39738
-0.27264;2.5771;2.5873;0.16038;0.33394
-0.27214;2.5155;2.5278;0.1712;0.27237
-0.27164;2.6663;2.6712;0.15791;0.42314
-0.27114;2.6487;2.6535;0.15723;0.40549
-0.27064;2.5296;2.5363;0.15666;0.28642
-0.27014;2.4374;2.4371;0.15948;0.19418
-0.26964;2.4549;2.4532;0.1599;0.21172
-0.26914;2.5459;2.537;0.1573;0.30275
-0.26864;2.6157;2.6082;0.16355;0.37254
-0.26814;2.5637;2.5598;0.176;0.32053
-0.26764;2.4509;2.4423;0.18011;0.2077
-0.26714;2.4355;2.4296;0.17871;0.19229
-0.26664;2.603;2.5951;0.15936;0.35983
-0.26614;2.5585;2.551;0.158;0.3153
-0.26564;2.476;2.4722;0.15614;0.2328
-0.26514;2.4063;2.4086;0.15575;0.16309
-0.26464;2.3914;2.3986;0.15414;0.14819
-0.26414;2.4833;2.4855;0.14681;0.24009
-0.26364;2.5492;2.5556;0.15326;0.30606
-0.26314;2.4919;2.5031;0.16718;0.24871
-0.26264;2.3815;2.3966;0.17307;0.13833
-0.26214;2.3589;2.3822;0.17407;0.11571
-0.26164;2.529;2.5496;0.1538;0.28583
-0.26114;2.5154;2.5374;0.15151;0.27224
-0.26064;2.3954;2.4204;0.15364;0.15222
-0.26014;2.2978;2.3169;0.15921;0.054645
-0.25964;2.3128;2.339;0.16227;0.069571
-0.25914;2.4062;2.4313;0.15215;0.16299
-0.25864;2.4678;2.497;0.16258;0.22466
-0.25814;2.4019;2.4321;0.18055;0.1587
-0.25764;2.2814;2.3205;0.1908;0.038207
-0.25714;2.2632;2.2916;0.19685;0.020047
-0.25664;2.4481;2.4704;0.17314;0.20488
-0.25614;2.432;2.45;0.17452;0.18881
-0.25564;2.313;2.3301;0.1776;0.069771
-0.25514;2.2169;2.2267;0.1868;-0.026311
-0.25464;2.2363;2.2438;0.19359;-0.0069102
-0.25414;2.3306;2.3437;0.18239;0.087463
-0.25364;2.3488;2.3629;0.19722;0.10563
-0.25314;2.3265;2.3345;0.21461;0.083281
-0.25264;2.2342;2.2329;0.2143;-0.0089849
-0.25214;2.1517;2.14;0.21637;-0.091451
-0.25164;2.352;2.3423;0.19983;0.10886
-0.25114;2.3682;2.3529;0.21461;0.12499
-0.25064;2.2799;2.2559;0.23459;0.036704
-0.25014;2.1706;2.133;0.23223;-0.072603
-0.24964;2.1764;2.1205;0.22844;-0.066766
