# Envelope of the raw data
#   MATLAB signal filter envelope(..., 'peak') applied
#   Data scaled to the range from 0 to 1 for the envelope
#   Interpolated to delta t = 0.05 to reduce data
Time;Sensor 1;Sensor 2;Sensor 3;Sensor 4;Sensor 5;Sensor 6;Sensor 7;Sensor 8
2.75;0.0035585;0.0037952;0.00057213;0.0039594;0.0038604;0.0037659;-0.00090586;-0.0030399
2.8;0.0035106;0.0044369;0.0001456;0.0043946;0.0040446;0.0040376;-0.00079662;-0.0024309
2.85;0.0034327;0.0049988;-0.0003276;0.0048289;0.0041937;0.0042984;-0.00063968;-0.0017845
2.9;0.0033264;0.0054166;-0.00081441;0.0052315;0.004301;0.0045263;-0.00043879;-0.0011444
2.95;0.003191;0.0056717;-0.0013095;0.0056015;0.0043732;0.004718;-0.00019171;-0.00051359
3;0.0030251;0.0057472;-0.001809;0.0059389;0.0044173;0.0048706;0.00010444;0.00010656
3.05;0.0028286;0.005626;-0.0023065;0.0062419;0.0044398;0.0049809;0.00045083;0.00071132
3.1;0.0026;0.0052901;-0.0027987;0.0065108;0.004447;0.0050459;0.00085093;0.0012999
3.15;0.0023388;0.0047241;-0.0032805;0.0067444;0.0044452;0.0050628;0.0013062;0.0018691
3.2;0.0020443;0.0039115;-0.003747;0.0069419;0.0044407;0.0050287;0.0018187;0.002416
3.25;0.0017157;0.0028363;-0.004194;0.0071028;0.0044394;0.0049407;0.0023906;0.0029383
3.3;0.0013565;0.0015029;-0.0046127;0.0072251;0.004447;0.0048014;0.0030164;0.0034284
3.35;0.00094262;-0.00016209;-0.0050222;0.0073136;0.0044705;0.0046079;0.0037391;0.0039116
3.4;0.0004896;-0.0020549;-0.0053968;0.0073604;0.0045163;0.0043752;0.0045321;0.0043606
3.45;-3.2476e-06;-0.0041286;-0.0057324;0.0073651;0.0045894;0.004113;0.0053974;0.0047733
3.5;-0.0005366;-0.0063373;-0.006024;0.0073267;0.0046901;0.0038306;0.0063371;0.0051468
3.55;-0.0011107;-0.0086352;-0.0062675;0.0072449;0.0048158;0.0035373;0.0073518;0.0054796
3.6;-0.001727;-0.010981;-0.0064588;0.0071187;0.0049645;0.0032418;0.0084361;0.0057701
3.65;-0.0023823;-0.01333;-0.0065937;0.0069479;0.0051337;0.002953;0.0095749;0.0060167
3.7;-0.0030569;-0.015642;-0.0066683;0.0067318;0.0053213;0.0026793;0.010755;0.006218
3.75;-0.0037023;-0.017797;-0.0066794;0.0064798;0.0055176;0.0024375;0.011918;0.0063678
3.8;-0.0043651;-0.019995;-0.0066205;0.0061603;0.0057438;0.0022102;0.013184;0.0064788
