122 10 831 0 1544 0 2256 13 2963 59 3669 35 4381 0 5093 0 
6598 49 7337 0 8049 0 8755 0 9467 28 10178 58 10885 17 11597 0 
13117 58 13824 33 14561 0 15273 0 15980 0 16686 57 17398 47 18109 0 
19635 36 20374 50 21099 0 21806 0 22518 0 23230 24 23942 59 24648 20 
26184 0 26891 59 27629 24 28340 0 29051 0 29758 0 30471 58 31182 48 
32689 0 33429 36 34141 54 34847 7 35559 0 36271 0 36978 14 37684 63 
39225 0 39963 11 40670 58 41382 35 42093 0 42800 0 43513 0 44224 52 
45736 0 46476 0 47188 23 47895 59 48607 15 49318 0 50024 0 50731 9 
52283 0 53007 0 53713 0 54425 58 55137 43 55844 0 56556 0 57268 0 
58789 0 59529 0 60241 0 60952 25 61658 57 62371 16 63083 0 63789 0 
65346 16 66083 0 66789 0 67501 10 68213 59 68925 38 69631 0 70342 0 
71871 41 72611 0 73323 0 74032 0 74739 36 75451 56 76162 7 76869 0 
78434 50 79172 0 79878 0 80591 0 81303 25 82008 56 82714 24 83427 0 
84988 55 85703 22 86415 0 87127 0 87833 0 88545 56 89258 46 89969 0 
91535 62 92275 34 92986 0 93692 0 94404 0 95115 57 95822 51 96534 0 
98109 52 98815 37 99553 0 100266 0 100977 0 101684 40 102396 53 103107 4 
104685 59 105425 40 106137 0 106844 0 107556 0 108269 37 108980 52 109686 6 
111279 56 112016 40 112723 0 113435 0 114146 0 114853 41 115565 53 116277 4 
117839 56 118579 46 119290 0 120001 0 120708 0 121420 30 122131 55 122838 12 
124439 58 125176 45 125882 0 126594 0 127305 0 128012 29 128719 56 129431 13 
131026 53 131741 49 132454 0 133165 0 133872 0 134584 27 135295 59 136006 19 
137607 59 138345 42 139057 0 139763 0 140475 0 141187 33 141894 56 142606 9 
144214 58 144920 37 145657 0 146370 0 147076 0 147783 41 148495 52 149207 3 
150786 58 151527 35 152240 0 152945 0 153657 0 154370 39 155076 56 155782 4 
157397 57 158126 33 158832 0 159544 0 160257 0 160968 59 161674 50 162386 0 
163996 59 164711 28 165424 0 166135 0 166841 0 167553 56 168266 50 168977 0 
170592 57 171330 15 172037 0 172743 0 173456 10 174167 58 174873 40 175585 0 
177211 57 177918 13 178630 0 179341 0 180047 9 180754 59 181466 37 182177 0 
183797 49 184536 0 185274 0 185985 0 186692 41 187404 50 188115 3 188822 0 
190451 19 191189 0 191896 0 192608 1 193319 56 194030 40 194737 0 195449 0 
197082 11 197789 0 198501 0 199212 12 199919 59 200632 34 201343 0 202050 0 
203681 0 204420 0 205133 0 205839 31 206551 58 207263 10 207969 0 208681 0 
210321 0 211058 0 211764 0 212476 59 213187 39 213894 0 214606 0 215317 0 
216923 0 217664 0 218377 15 219088 60 219795 29 220507 0 221218 0 221925 0 
223569 0 224307 0 225018 47 225724 48 226437 0 227149 0 227855 0 228567 24 
230216 0 230923 6 231635 61 232346 40 233053 0 233759 0 234472 0 235183 37 
236827 0 237567 31 238279 55 238985 11 239697 0 240410 0 241120 14 241826 60 
243483 13 244220 59 244926 33 245639 0 246349 0 247057 0 247763 55 248476 52 
250141 30 250848 56 251561 7 252273 0 252979 0 253691 15 254403 60 255108 33 
256764 58 257504 31 258216 0 258922 0 259634 0 260345 55 261056 48 261763 0 
263427 49 264155 0 264861 0 265574 0 266285 23 266991 55 267703 20 268415 0 
270070 34 270785 0 271498 0 272209 0 272915 58 273627 51 274338 0 275049 0 
276711 0 277452 0 278164 0 278870 33 279582 60 280294 13 280999 0 281711 0 
283386 0 284102 0 284809 9 285521 58 286233 36 286939 0 287651 0 288364 0 
290003 0 290744 0 291456 37 292168 53 292875 7 293587 0 294298 0 295004 18 
296683 0 297422 26 298128 57 298834 17 299546 0 300259 0 300965 4 301677 59 
303361 0 304098 59 304804 26 305516 0 306227 0 306934 0 307646 57 308358 50 
310011 56 310752 47 311465 0 312177 0 312883 0 313595 34 314307 56 315012 12 
316703 48 317443 0 318154 0 318860 0 319573 29 320284 58 320990 18 321702 0 
323397 13 324117 0 324824 0 325536 17 326248 60 326954 27 327666 0 328379 0 
330065 0 330781 0 331494 0 332206 59 332912 43 333624 0 334335 0 335047 0 
336737 0 337476 0 338188 56 338895 38 339607 0 340318 0 341024 0 341736 35 
343438 0 344157 54 344863 50 345576 0 346290 0 346995 0 347707 28 348420 58 
350112 35 350827 52 351540 6 352253 0 352958 0 353670 17 354383 60 355094 31 
356799 51 357538 0 358250 0 358956 0 359668 23 360381 60 361092 26 361798 0 
363510 0 364248 0 364954 0 365667 29 366379 57 367090 20 367797 0 368509 0 
370229 0 370935 0 371648 23 372360 58 373072 20 373779 0 374490 0 375202 0 
376912 0 377652 35 378366 53 379077 6 379783 0 380496 0 381208 14 381914 61 
383636 55 384375 51 385086 0 385793 0 386506 0 387217 25 387923 57 388635 18 
